Name;Size;Author;Downloads;Date;Path
ShortIntro.pdf;92469;"Tatyana Krivobokova";1;"02.03.2019 21:31";ShortIntro.pdf
Rpraktikum.pdf;223753;"Tatyana Krivobokova";1;"02.03.2019 21:31";Rpraktikum.pdf
Lecture10.pdf;122450;"Tatyana Krivobokova";1;"02.03.2019 21:30";Lecture10.pdf
Lecture9.pdf;142737;"Tatyana Krivobokova";1;"02.03.2019 21:30";Lecture9.pdf
Lecture8.pdf;166784;"Tatyana Krivobokova";1;"02.03.2019 21:30";Lecture8.pdf
Lecture7.pdf;169202;"Tatyana Krivobokova";1;"02.03.2019 21:29";Lecture7.pdf
Lecture6.pdf;164125;"Tatyana Krivobokova";1;"02.03.2019 21:29";Lecture6.pdf
Lecture5.pdf;142979;"Tatyana Krivobokova";1;"02.03.2019 21:29";Lecture5.pdf
Lecture4.pdf;151402;"Tatyana Krivobokova";1;"02.03.2019 21:27";Lecture4.pdf
Lecture3.pdf;118750;"Tatyana Krivobokova";1;"02.03.2019 21:26";Lecture3.pdf
Lecture2.pdf;159339;"Tatyana Krivobokova";1;"02.03.2019 21:26";Lecture2.pdf
Lecture1_Tydeverse.R;9648;"Tatyana Krivobokova";3;"02.03.2019 21:26";Lecture1_Tydeverse.R
childrenfinal.dta;1927412;"Tatyana Krivobokova";1;"02.03.2019 18:58";childrenfinal.dta
StudentsPerformance.csv;72036;"Tatyana Krivobokova";1;"02.03.2019 19:00";StudentsPerformance.csv
student-mat.csv;41983;"Tatyana Krivobokova";1;"02.03.2019 18:59";student-mat.csv
stemcell.txt;1440;"Tatyana Krivobokova";0;"02.03.2019 19:01";stemcell.txt
Thoracic.txt;23244;"Tatyana Krivobokova";0;"02.03.2019 19:00";Thoracic.txt
shhs1.txt;740206;"Tatyana Krivobokova";2;"02.03.2019 18:59";shhs1.txt
